,Proportion avec place de stationnement gratuite,Ecart type avec place de stationnement gratuite,Proportion avec place de stationnement payante,Ecart type avec place de stationnement payante,Proportion sans place de stationnement,Ecart type sans place de stationnement
Tous les ménages,0.5394924272351648,0.009933162389716834,0.2084083969081662,0.008094400086653358,0.25209917585666897,0.008653348402741252
Communes hors agglomérations,0.7641206849072708,0.01851018658855453,0.09856878566349285,0.01299633474237811,0.13731052942923613,0.01500596948368655
Agglomérations de 250'000 habitants et plus,0.41765364525650517,0.015865650574263864,0.26803408438762566,0.014249496129388353,0.3143122703558691,0.014934920773591135
Agglomérations de 50'000 à 249'999 habitants,0.5336884955973659,0.017616847100816364,0.20564465409384874,0.014272903281108865,0.2606668503087855,0.015502765979226561
Agglomérations de moins de 50'000 habitants,0.6606237432583858,0.03165200344047402,0.17340778275169808,0.02530832110339661,0.16596847398991615,0.024870666355959498
