,Typology of home location: Urban core area,Typology of home location: Area influenced by urban cores,Typology of home location: Area beyond urban core influence,Total
Typology of work location: Urban core area,0.6512860053813135,0.181063022221124,0.07996278896220205,0.9123118165646397
Typology of work location: Area influenced by urban cores,0.017219379872931796,0.026496107809895187,0.0021596636307435677,0.0458751513135705
Typology of work location: Area beyond urban core influence,0.009529522349829966,0.007884639379886652,0.02439887039207323,0.041813032121789794
Total,0.6780349076040754,0.21544376941090576,0.10652132298501873,1.0
