,Typology of home location: Urban core area,Typology of home location: Area influenced by urban cores,Typology of home location: Area beyond urban core influence,Total
Typology of work location: Urban core area,0.6878189955863879,0.13720571078532778,0.045994854995188114,0.8710195613669038
Typology of work location: Area influenced by urban cores,0.015298500062061526,0.04714733097790019,0.008653012095550564,0.07109884313551236
Typology of work location: Area beyond urban core influence,0.007686493283444742,0.0035328235166947617,0.04666227869744421,0.057881595497583746
Total,0.7108039889318943,0.18788586527992268,0.10131014578818286,1.0
