,Degré d'urbanisation au domicile : Espace des centres urbains,Degré d'urbanisation au domicile : Espace sous influence des centres urbains,Degré d'urbanisation au domicile : Espace hors influence des centres urbains,Total
Degré d'urbanisation au lieu de traval : Espace des centres urbains,0.6512860053813135,0.181063022221124,0.07996278896220205,0.9123118165646397
Degré d'urbanisation au lieu de traval : Espace sous influence des centres urbains,0.017219379872931796,0.026496107809895187,0.0021596636307435677,0.0458751513135705
Degré d'urbanisation au lieu de traval : Espace hors influence des centres urbains,0.009529522349829966,0.007884639379886652,0.02439887039207323,0.041813032121789794
Total,0.6780349076040754,0.21544376941090576,0.10652132298501873,1.0
