,Degré d'urbanisation au domicile : Espace des centres urbains,Degré d'urbanisation au domicile : Espace sous influence des centres urbains,Degré d'urbanisation au domicile : Espace hors influence des centres urbains,Total
Degré d'urbanisation au lieu de traval : Espace des centres urbains,0.6878189955863879,0.13720571078532778,0.045994854995188114,0.8710195613669038
Degré d'urbanisation au lieu de traval : Espace sous influence des centres urbains,0.015298500062061526,0.04714733097790019,0.008653012095550564,0.07109884313551236
Degré d'urbanisation au lieu de traval : Espace hors influence des centres urbains,0.007686493283444742,0.0035328235166947617,0.04666227869744421,0.057881595497583746
Total,0.7108039889318943,0.18788586527992268,0.10131014578818286,1.0
