,Degré d'urbanisation au domicile : Espace des centres urbains,Degré d'urbanisation au domicile : Espace sous influence des centres urbains,Degré d'urbanisation au domicile : Espace hors influence des centres urbains,Total
Degré d'urbanisation au lieu de traval : Espace des centres urbains,0.4434209095246736,0.13383812757521873,0.060113465392455205,0.6373725024923472
Degré d'urbanisation au lieu de traval : Espace sous influence des centres urbains,0.06253238776304218,0.11051145184441769,0.022039816546512984,0.19508365615397302
Degré d'urbanisation au lieu de traval : Espace hors influence des centres urbains,0.032578174351029325,0.016102291595809354,0.11886337540684082,0.16754384135367978
Total,0.538531471638745,0.2604518710154458,0.20101665734580915,1.0
